"attributeName","measurementScale","domain","unit","numberType","attributeLabel","attributeDefinition","definition","formatString","missingValueCode","missingValueCodeExplanation"
"Status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Year",NA,"numericDomain",NA,"natural",NA,NA,NA,NA,NA,NA
"Month",NA,"numericDomain",NA,"natural",NA,NA,NA,NA,NA,NA
"Day",NA,"numericDomain",NA,"natural",NA,NA,NA,NA,NA,NA
"Hours (UTC)",NA,"numericDomain",NA,"whole",NA,NA,NA,NA,NA,NA
"Depth_n1",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n2",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n3",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n4",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n5",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n6",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n7",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n8",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n9",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n10",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n11",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n12",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n13",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n14",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n15",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n16",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n17",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n18",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n19",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n20",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n21",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n22",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n23",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n24",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n25",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n26",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n27",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n28",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n29",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n30",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n31",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n32",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n33",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n34",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n35",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n36",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n37",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n38",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n39",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n40",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n41",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n42",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n43",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n44",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n45",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n46",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n47",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n48",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n49",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
"Depth_n50",NA,"numericDomain",NA,"real",NA,NA,NA,NA,NA,NA
