Year,Month,Day,Hours (UTC),Water Level (m)
2015,8,9,20,0
2015,8,9,21,-0.0067056
2015,8,9,22,-0.003048
2015,8,9,23,-0.0024384
2015,8,10,0,-0.0018288
2015,8,10,1,-0.0042672
2015,8,10,2,-0.0018288
2015,8,10,3,0.0012192
2015,8,10,4,0.0012192
2015,8,10,5,0.0033528
2015,8,10,6,0.004572
2015,8,10,7,0.0024384
2015,8,10,8,0.0082296
2015,8,10,9,0.0054864
2015,8,10,10,0.0064008
2015,8,10,11,0.0073152
2015,8,10,12,0.0100584
2015,8,10,13,0.0155448
2015,8,10,14,0.016154399
2015,8,10,15,0.012192
2015,8,10,16,0.021640799
2015,8,10,17,0.025907999
2015,8,10,18,0.030479999
2015,8,10,19,0.032308799
2015,8,10,20,0.032613599
2015,8,10,21,0.033832799
2015,8,10,22,0.033832799
2015,8,10,23,0.032918399
2015,8,11,0,0.030784799
2015,8,11,1,0.032918399
2015,8,11,2,0.038099999
2015,8,11,3,0.040843199
2015,8,11,4,0.044195999
2015,8,11,5,0.047243998
2015,8,11,6,0.046634399
2015,8,11,7,0.046634399
2015,8,11,8,0.049682398
2015,8,11,9,0.049987198
2015,8,11,10,0.049682398
2015,8,11,11,0.049987198
2015,8,11,12,0.050901598
2015,8,11,13,0.049987198
2015,8,11,14,0.052730398
2015,8,11,15,0.053949598
2015,8,11,16,0.058521598
2015,8,11,17,0.062179198
2015,8,11,18,0.056997598
2015,8,11,19,0.065836798
2015,8,11,20,0.067665598
2015,8,11,21,0.073151998
2015,8,11,22,0.072237598
2015,8,11,23,0.072237598
2015,8,12,0,0.072847198
2015,8,12,1,0.074675998
2015,8,12,2,0.078028798
2015,8,12,3,0.078028798
2015,8,12,4,0.079552797
2015,8,12,5,0.081076797
2015,8,12,6,0.081686397
2015,8,12,7,0.085343997
2015,8,12,8,0.086867997
2015,8,12,9,0.087477597
2015,8,12,10,0.089915997
2015,8,12,11,0.092659197
2015,8,12,12,0.093573597
2015,8,12,13,0.095707197
2015,8,12,14,0.100583997
2015,8,12,15,0.102717597
2015,8,12,16,0.105460797
2015,8,12,17,0.111556796
2015,8,12,18,0.116128796
2015,8,12,19,0.117652796
2015,8,12,20,0.117957596
2015,8,12,21,0.117957596
2015,8,12,22,0.116433596
2015,8,12,23,0.111861596
2015,8,13,0,0.110642396
2015,8,13,1,0.110642396
2015,8,13,2,0.109118397
2015,8,13,3,0.111861596
2015,8,13,4,0.111861596
2015,8,13,5,0.114299996
2015,8,13,6,0.111251996
2015,8,13,7,0.107594397
2015,8,13,8,0.107594397
2015,8,13,9,0.109118397
2015,8,13,10,0.106070397
2015,8,13,11,0.108203997
2015,8,13,12,0.110642396
2015,8,13,13,0.111861596
2015,8,13,14,0.114909596
2015,8,13,15,0.119481596
2015,8,13,16,0.123748796
2015,8,13,17,0.126796796
2015,8,13,18,0.131063996
2015,8,13,19,0.134111996
2015,8,13,20,0.134111996
2015,8,13,21,0.134111996
2015,8,13,22,0.135635996
2015,8,13,23,0.134111996
2015,8,14,0,0.133502396
2015,8,14,1,0.135635996
2015,8,14,2,0.137159996
2015,8,14,3,0.141427195
2015,8,14,4,0.141427195
2015,8,14,5,0.142951195
2015,8,14,6,0.141427195
2015,8,14,7,0.138683996
2015,8,14,8,0.135635996
2015,8,14,9,0.134416796
2015,8,14,10,0.134721596
2015,8,14,11,0.132283196
2015,8,14,12,0.134721596
2015,8,14,13,0.134416796
2015,8,14,14,0.137159996
2015,8,14,15,0.133502396
2015,8,14,16,0.141427195
2015,8,14,17,0.148742395
2015,8,14,18,0.148742395
2015,8,14,19,0.151790395
2015,8,14,20,0.154838395
2015,8,14,21,0.159105595
2015,8,14,22,0.163677595
2015,8,14,23,0.164287195
2015,8,15,0,0.163677595
2015,8,15,1,0.163677595
2015,8,15,2,0.170992795
2015,8,15,3,0.174650394
2015,8,15,4,0.177698394
2015,8,15,5,0.181355994
2015,8,15,6,0.183489594
2015,8,15,7,0.182879994
2015,8,15,8,0.184403994
2015,8,15,9,0.183184794
2015,8,15,10,0.185013594
2015,8,15,11,0.185013594
2015,8,15,12,0.185927994
2015,8,15,13,0.183184794
2015,8,15,14,0.182879994
2015,8,15,15,0.185927994
2015,8,15,16,0.187147194
2015,8,15,17,0.190195194
2015,8,15,18,0.188671194
